X,Y,Z
592584.6911803315,6232451.661611126,63.17849969026473
595782.6914972715,6232905.846902938,654.1043323707098
592331.5031094517,6232495.499233737,167.11652778573742
595780.0306659162,6232927.494415289,642.4986868616153
595773.6012530172,6232979.245263661,615.8418746107665
595765.064548429,6233047.189232839,582.6199817058591
596416.2982347788,6233173.401972871,488.5384859806173
596416.0724802924,6233174.8460439565,488.5077333445471
594408.2292530492,6232958.312925811,258.1675047474709
594406.0119186238,6232977.40870753,258.47737669391233
594402.810309997,6233004.28566123,260.8111955434267
595497.7009387738,6233164.79428195,646.9802494545207
595745.4224476526,6233207.081224218,512.5525370163831
594399.4603435384,6233032.597677538,261.70214144699776
595494.058957412,6233194.219727622,648.4926323194236
594395.7460075354,6233063.136434231,255.19247044245583
595491.5566173485,6233214.651894881,635.7066681159799
594394.3760650854,6233074.4627394015,254.1304526468428
595486.1736478257,6233258.398204343,642.5573354291513
595483.5322160819,6233279.721476263,636.715945467191
591183.2661953485,6232748.076413419,583.8447805434843
595481.496134722,6233296.0429264875,632.9411505308384
595478.5445279106,6233319.580959537,628.9343687811033
591178.5504329815,6232786.272112778,580.9206034913703
595476.4285029471,6233336.672203199,625.3053762745202
593179.9865593857,6233048.026141465,234.28462242521024
591177.0359879489,6232799.04441683,586.9850714645407
595474.4474809398,6233353.117876658,618.7901374846788
591174.4732209393,6232820.261780589,588.2408595592482
595471.6646822949,6233375.206845966,608.2129374658577
595722.204647848,6233399.297433051,448.97269439153285
595469.7606378864,6233390.868185026,603.6428539157328
591167.912642085,6232874.784490528,600.6682712372692
595466.5683064185,6233417.177603231,584.5120639800424
591167.8320485178,6232875.453237461,601.3626850150761
595464.5299091284,6233433.383689349,581.8373218921878
591164.4427728629,6232903.660802121,609.0232617896818
595462.3867099818,6233451.602382921,584.2868847292617
591160.8509620725,6232932.534254694,609.5714561702115
595460.9472463068,6233463.487044274,584.5827726327232
591160.399053161,6232936.085553004,609.5358083192763
595458.7238125207,6233482.363200604,585.3045386233068
591155.8389195336,6232972.622910498,609.083254177631
595454.469055187,6233517.342674967,585.7181587561008
591153.6728158073,6232990.163061818,606.8137133570983
595452.9500161067,6233529.890834452,584.7153179485992
591152.992087919,6232995.82824009,606.9611057129382
596355.735745249,6233661.614158162,438.79773057916765
591149.8453333263,6233021.029560679,607.5297935187184
595447.8654976876,6233571.30064688,586.2544314615484
596353.9905678142,6233675.829407414,438.7341041411048
591147.645530532,6233040.025432317,613.5730026641598
591144.7126081833,6233064.020651424,613.0267721834804
595442.9820175122,6233609.718353193,579.5368945988748
591141.9201683315,6233087.22334308,612.5434773113499
595439.5248611892,6233636.801704248,572.455994285989
591139.7129489753,6233106.327972074,620.5950406413995
595437.0289003238,6233656.685870318,568.2301459367715
591138.5865695153,6233115.437521551,621.2597342866587
595434.6949180176,6233675.228687076,564.518676398674
591135.5660925535,6233140.97188516,621.8966519716153
595432.2806221345,6233694.433772964,559.5573932588698
591132.819713273,6233165.081643079,636.5297060453204
595430.473997,6233708.646723479,559.3501680398397
591129.5151840195,6233192.056738131,637.2578751404208
595427.134078227,6233736.070765746,561.4620852034134
591127.6352087975,6233207.836390971,636.7356159118998
594330.9967706945,6233594.037548116,403.66998278887615
595426.5902909789,6233741.0692679,559.5315239702841
591124.8370203383,6233231.269872846,644.5908472873762
594324.745228677,6233643.882669143,394.71884645891004
591120.3790840472,6233268.802706427,658.2953322829095
594323.9883372851,6233650.217223407,393.79249926134787
592220.4450236988,6233422.341953676,608.3156715137412
595418.5753238478,6233808.362857575,550.9047763145003
591119.9136542921,6233273.021784,659.208492458365
594320.3595606082,6233679.747889802,394.42034983539327
595415.4515050407,6233834.353678072,545.6428873662514
595665.7978944045,6233857.661228475,411.6849795130621
591117.13460641,6233295.677928631,665.2262495736339
594317.6352066634,6233702.178632473,391.72521256445486
595663.8360701284,6233873.200036666,410.0363022617394
591115.0372152207,6233312.5602637585,665.5756475956417
594315.9618776735,6233716.176393463,389.186520185948
592213.6251690609,6233482.430059557,672.3895015757282
595411.2725251891,6233868.768002353,547.1351850515991
595659.701726427,6233905.615753996,408.53572275656626
592459.9126454645,6233500.001752166,619.3017153892262
591111.3783357427,6233341.978197625,667.360327472573
594314.5891835517,6233727.496542606,388.7912292116489
592212.2701790205,6233493.645778565,676.153691680636
595657.3683388645,6233923.9360521855,407.15117843933143
591108.4347714841,6233366.414837268,680.9543813143563
594310.7891967454,6233759.263411242,390.0028544632936
592210.2970415185,6233510.522300044,683.0765792280766
595406.0670578225,6233910.409565247,544.9354858447927
595655.9519511447,6233934.585021702,406.3740576091128
591106.6499061515,6233380.401867016,681.1994577849572
595404.771593852,6233920.9490007935,544.5820901345447
595653.2414581858,6233955.798250834,405.62408312559074
591103.1816740902,6233409.052119218,688.456266343148
592581.9258677295,6233592.16590361,726.5743021096007
592204.8524566954,6233555.612601948,699.3523551938332
595401.7746819744,6233944.388441852,544.5525217453759
591102.4290289502,6233415.387322891,689.6825947276049
592580.1623603652,6233607.6018601945,724.8526002683187
592201.9878248039,6233579.157404922,701.4310769851904
595648.1595906006,6233994.5380619895,402.72084301008607
591099.6403335035,6233438.480219126,694.8912999753567
592577.7312737703,6233628.033259786,724.8092186818315
592199.9040340041,6233595.256548876,690.5407488706592
595395.6707886646,6233992.567766941,546.1846495874065
595644.3100270395,6234024.96946128,399.19583094734395
591097.2997481923,6233458.251830967,698.4178689090522
592575.2449179206,6233648.462535285,724.1891545429352
592197.060328878,6233618.125654027,694.5993264485486
595394.6341426062,6234000.339943876,544.5939380961927
591094.9552546752,6233478.02111389,698.7463631409472
592195.4648820485,6233631.347230956,699.3526224095039
591092.2288430705,6233501.235412029,705.0417356404673
592193.3566089943,6233648.668090635,707.8050315872072
595389.2054282469,6234043.640784214,543.6160542808528
591090.5489396164,6233516.111497119,710.3235185207154
592190.7409770958,6233669.769391758,709.2840646458628
595385.3528376946,6234074.177786003,542.1853963719267
592434.416205481,6233709.438067523,699.8556902575947
591088.1685490893,6233537.324964414,715.6522238942083
592188.4149939199,6233688.08341978,710.2853321996707
595384.2197151908,6234083.393777253,542.3224785748891
592431.7652290179,6233731.539267479,707.1972316269788
591085.114856563,6233564.212950209,720.112266494626
592564.384757042,6233740.527711089,718.9757543909797
592185.4156894978,6233712.0679797,715.8213943495675
595380.2967329638,6234114.586505977,542.2929179232387
592430.2513518152,6233744.310277709,710.2082336692911
591083.7461488724,6233576.206242687,722.4063790680768
592563.0098547505,6233752.526243328,720.1957566042305
592183.0247557104,6233731.172431463,722.3075565337192
595379.6897462108,6234119.578147354,541.2805111102859
592428.1489982466,6233761.299063991,710.8960452292321
591082.0656178705,6233591.096053984,724.7561540428018
592560.1495846541,6233778.408370416,720.9890230872049
592180.6252307039,6233750.3803713145,723.9972973647243
595376.2868205431,6234147.120849722,539.5612024329786
592425.4326897471,6233783.836803345,715.9121176522689
591078.4608472263,6233623.516846785,734.1577379241296
592557.6802973279,6233800.842861815,717.2368884846579
592178.5193228794,6233767.369897182,726.4046803703388
592423.6968039632,6233797.82938769,720.0999814808173
591076.8515745837,6233637.63100244,737.4602386888565
592554.8365812814,6233826.165426243,704.6804500780754
